state,x,y
Andhra Pradesh,-40.0,-95.0
Arunachal Pradesh,172.0, 107.0
Assam,160.0, 70.0
Bihar,49.0, 58.0
Chattisghar,-15.0, -8.0
Goa,-148.0, -99.0
Gujarat,-182.0,28.0
Haryana,-80.0, 125.0
Himachal Pradesh,-75.0,178.0
Jharkhand,33.0, 25.0
Karnataka,-126.0, -117.0
Kerala,-116.0, -185.0
Madhya Pradesh,-92.0, 28.0
Maharashtra,-120.0, -38.0
Manipur,168.0, 48.0
Meghalaya,126.0, 62.0
Mizoram,160.0, 23.0
Nagaland,181.0, 71.0
Odisha,26.0, -28.0
Punjab,-107.0, 162.0
Rajasthan,-149.0, 96.0
Sikkim,91.0, 90.0
Tamil Nadu,-70.0, -181.0
Telangana,-71.0, -49.0
Tripura,138.0, 29.0
Uttarakhand,-42.0, 88.0
Uttar Pradesh,77.0,19.0
West Bengal,80,20
